Wall ID,Height,Foundation Height,Cap Deterioration,Out of Plane,Structural Cracking,Cracking Junction,Sill 1,Sill 2,Coat 1 Cracking,Coat 1 Loss,Coat 2 Cracking,Coat 2 Loss,Lintel Deterioration,Surface Loss Top,Surface Loss Mid,Surface Loss Low,Foundation Displacement 1,Foundation Displacement 2,Foundation Mortar 1,Foundation Mortar 2,Foundation Stone Det,Treatment,Bracing,Bracing Score,Animal Activity,Fireplace,Point Cloud Mean,Point Cloud Deviation,Total Scr
Wall_001,2,15.707236615029757,3,2,2,1,3,2,1,2,2,1,2,1,1,2,1,1,2,1,2,0,1,2,1,0,2.381495986622266,0.9231242572589874,39.360691560424456
Wall_002,5,18.76850035071069,4,3,1,0,2,1,1,2,3,3,0,3,0,5,0,1,1,1,0,0,0,0,0,0,1.1842328418305685,0.5489270444320705,51.819288064207775
Wall_003,4,9.379044601252502,5,5,2,1,1,1,2,2,3,1,2,1,0,1,0,3,2,2,4,1,1,4,1,2,1.307697510005986,2.5921734917167227,76.49808959796894
Wall_004,3,6.862046342192377,2,3,2,3,0,0,2,2,2,2,3,1,5,2,2,1,1,1,3,1,0,0,1,0,3.3271679509179193,0.08799965661842547,35.501270743029856
Wall_005,2,3.092937477843158,0,0,0,3,1,1,1,0,2,4,1,0,2,0,1,1,2,1,1,0,0,0,0,1,2.1162952293183444,0.8134932055426083,22.048075440845267
Wall_006,2,21.10917841518869,0,1,0,2,1,0,0,2,0,2,1,4,2,4,2,1,0,0,2,1,1,3,0,1,1.2494160962400562,0.9199283699842553,0.0
Wall_007,1,22.041920084720907,0,0,0,2,5,4,3,1,1,1,3,3,2,2,2,0,1,1,0,0,0,0,0,1,-2.450652940743775,1.936509415789255,15.047940838891275
Wall_008,4,5.476163392412646,3,4,3,3,3,3,4,1,3,4,2,2,1,3,0,3,4,3,0,0,1,2,0,2,7.654867413515547,1.2809868293472408,57.26538587694218
Wall_009,3,4.849630208955713,2,1,0,1,0,0,0,0,0,1,2,4,0,3,0,1,3,2,1,0,0,0,0,0,-2.7579568932705834,1.6503759624273044,11.871769412934452
Wall_010,4,10.284955088678913,3,3,2,0,1,0,0,1,0,1,0,0,0,3,0,1,2,1,2,1,1,4,0,0,-0.7813568427504114,2.251206815760043,25.884719909619164
Wall_011,1,25.98737584477453,1,1,0,1,2,2,5,5,5,4,3,2,2,2,4,2,2,2,2,0,1,3,0,0,-4.136820691024994,2.9729602502367523,23.365635389955337
Wall_012,5,13.517756738519653,4,5,2,1,3,3,3,5,4,3,2,2,2,1,1,2,1,1,1,0,1,3,1,0,1.3469953969231554,0.5650442640984961,66.78773327899805
Wall_013,4,8.156318697037609,4,2,3,4,1,0,1,1,0,2,0,2,3,2,2,2,5,5,0,1,1,3,1,0,0.3777760932120186,1.1583593023761103,42.20455727488651
Wall_014,2,10.391531474601477,1,1,1,2,1,1,1,0,1,1,0,5,2,3,2,2,0,0,3,0,1,3,0,0,1.9131910959119,2.749885773359454,0.0
Wall_015,2,3.3870914344407312,4,1,2,5,1,0,0,3,0,0,0,3,0,3,1,0,2,1,3,0,0,0,1,1,-4.347664077761085,6.827604937928589,12.122565483134466
Wall_016,2,20.459715606741938,2,1,2,2,1,1,2,1,2,4,1,1,0,3,2,0,3,2,3,0,0,0,0,0,2.782264168452329,3.304371800810671,26.154395114253255
Wall_017,2,7.356934167489518,0,2,0,0,3,2,2,0,0,1,2,3,2,2,0,1,1,1,5,1,0,0,2,0,-2.0185885036740365,0.6965507463011681,30.48079376604178
Wall_018,3,3.1349274719633584,1,2,1,3,4,4,2,2,1,1,2,5,2,3,1,1,2,2,2,0,0,0,0,0,-0.3725129984096634,0.32567981497276954,4.580736085054248
Wall_019,3,9.345686869748041,2,1,0,2,1,1,4,2,3,3,4,2,1,2,1,3,4,3,2,1,1,3,1,0,2.3289281717026613,1.0082312384099634,30.650892835760278
Wall_020,2,7.985573286231478,1,2,1,3,3,2,1,1,1,0,1,1,3,0,0,2,3,3,3,1,1,5,1,0,0.6531667103297485,2.030110405896105,25.523871584689463
Wall_021,3,14.958840299887502,3,4,2,1,2,2,3,2,2,1,1,5,0,4,0,1,2,1,2,0,1,4,1,1,0.8298563916671597,1.017592016002708,64.75676056249237
